question_text,answer_text,answer_type,answer_media
"What is your greeting message?","Dobar dan, ja sam Crepko. Kako vam mogu pomoci?",text,
"Dobar dan, interesuje me cena izrade krova","Cena izrade krova zavisi od m2 krova, za vise informacija pozovite nas na broj 0632288974.",text,
"Dobar dan, interesuje me cena popravke krova","Cena popravke krova zavisi od problema, za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Dobar dan, interesuje me koju vrstu zastite krova imate","Sistem za zaštitu od nevremena.",text,
"Koja je cena zastite","Za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Dobar dan, kako vas mozemo kontaktirati","Mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Dobar dan, putem kog broja vas mozemo kontaktirati","Nas broj telefona je 0632288974.",text,
"Broj telefona","Nas broj telefona je 0632288974.",text,
"Koji je vas broj telefona","Nas broj telefona je 0632288974.",text,
"Cena izrade krova","Cena zavisi od m2 krova. Za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Cena popravke krova","Cena zavisi od m2 krova. Za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Cena zastite krova","Za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Koja je cena zastite krova","Za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"Koliki je vas tim za rad","Nas tim broji 3 radnika.",text,
"Koji broj radnika imate","Nas tim broji 3 radnika.",text,
"Koliko ste dugo u ovom poslu","Postojimo od 2014. godine i  imamo veliko iskustvo u ovom poslu.",text,
"Koliko dugo postojite","Postojimo od 2014. godine i  imamo veliko iskustvo u ovom poslu.",text,
"Dobar dan, koliko traje izrada krova","Izrada krova traje 15-25 dana u zavisnosti od m2.",text,
"Koliko traje izrada krova","Izrada krova traje 15-25 dana u zavisnosti od m2.",text,
"Koji je rok za izradu krova","Izrada krova traje 15-25 dana u zavisnosti od m2.",text,
"Rok za izradu","Izrada krova traje 15-25 dana u zavisnosti od m2.",text,
"Rok za popravku","Popravka krova traje 5-6 dana u zavisnosti od problema.",text,
"Vrste crepova","Najcesce koristimo bakarni, glineni i betonski crep.",text,
"Koje vrste crepova koristite","Najcesce koristimo bakarni, glineni i betonski crep.",text,
"Koje vrste krovova pravite","Izrada krovova radi se na jednu vodu, dve vode, tri vode i cetiri vode.",text,
"Dobar dan, koji je rok za popravku","Popravka krova traje 5-6 dana u zavisnosti od problema.",text,
"Vrste krovova","Izrada krovova radi se na jednu vodu, dve vode, tri vode i cetiri vode",text,
"Koje usluge imate","Vrsimo - izradu, popravku i zastitu krova.",text,
Usluge,"Vrsimo - izradu, popravku i zastitu krova.",text,
"Koja je cena izrade krova","Cena zavisi od m2. Za vise informacija i cenovnik mozete nas kontaktirati putem nase kontakt stranice ili pozivom na broj 0632288974.",text,
"cena krova","Imamo vise usluga. Koja vas tacno zanima?",text,
